node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND2_X1,N1,False,1.0,0.0405,0.037000000000000005,0.0405,0.037000000000000005,0.03633349999999996,0.014331999999999893,-0.004166500000000038,-0.02266800000000011,-0.02266800000000011
G2,INV_X1,N2,False,1.667,0.030003000000000002,0.0228355,0.06700300000000001,0.0633355,0.044334999999999895,0.059168999999999965,-0.02266800000000011,-0.004166500000000038,-0.02266800000000011
G3,NOR2_X1,N3,False,1.0,0.052,0.0375,0.11533550000000001,0.10450300000000001,0.11116899999999996,0.0818349999999999,-0.004166500000000045,-0.02266800000000012,-0.02266800000000012
G4,BUF_X1,N4,False,1.333,0.039331,0.0333315,0.1546665,0.13783450000000003,0.15049999999999997,0.1151664999999999,-0.004166500000000045,-0.022668000000000132,-0.022668000000000132
G5,AND2_X1,N5,False,1.0,0.058,0.0545,0.2126665,0.19233450000000002,0.20849999999999996,0.1696664999999999,-0.004166500000000045,-0.022668000000000132,-0.022668000000000132
G6,INV_X1,N6,False,1.667,0.030003000000000002,0.0228355,0.22233750000000002,0.23550200000000002,0.1996694999999999,0.23133549999999997,-0.022668000000000132,-0.004166500000000045,-0.022668000000000132
G7,OR2_X1,N7,False,1.333,0.0693305,0.0586645,0.29166800000000004,0.2941665,0.2689999999999999,0.29,-0.022668000000000132,-0.004166500000000017,-0.022668000000000132
G8,NAND2_X1,N8,False,1.0,0.0405,0.037000000000000005,0.3346665,0.32866800000000007,0.33049999999999996,0.30599999999999994,-0.004166500000000017,-0.022668000000000132,-0.022668000000000132
G9,INV_X1,N9,False,1.0,0.024,0.018500000000000003,0.3526680000000001,0.3531665,0.32999999999999996,0.349,-0.022668000000000132,-0.004166500000000017,-0.022668000000000132
G10,BUF_X1,OUT,True,10.0,0.1,0.08099999999999999,0.45266800000000007,0.4341665,0.43,0.43,-0.022668000000000077,-0.004166500000000017,-0.022668000000000077
