iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.5452034511120505,1.5452034511120505,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.21330300000000024,0.0,1.010341,1.010341,0.0,215.70000000000007,215.70000000000007,0.0,15.075837,15.075837,0.0,,
1,rejected,False,G29,OR2_X1,OR2_X2,no candidate improves WNS or tied-WNS TNS,1.5452034511120505,1.5452034511120505,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.21330300000000024,0.0,1.010341,1.010341,0.0,215.70000000000007,215.70000000000007,0.0,15.075837,15.075837,0.0,,
2,rejected,False,G45,AND3_X1,AND3_X2,no candidate improves WNS or tied-WNS TNS,1.5452034511120505,1.5452034511120505,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.21330300000000024,0.0,1.010341,1.010341,0.0,215.70000000000007,215.70000000000007,0.0,15.075837,15.075837,0.0,,
3,rejected,False,G30,XNOR2_X1,XNOR2_X2,candidate violates area or power constraints,1.5452034511120505,1.5452034511120505,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.21330300000000024,0.0,1.010341,1.010341,0.0,215.70000000000007,215.70000000000007,0.0,15.075837,15.075837,0.0,,
4,rejected,False,G63,XOR2_X1,XOR2_X2,candidate violates area or power constraints,1.5452034511120505,1.5452034511120505,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.21330300000000024,0.0,1.010341,1.010341,0.0,215.70000000000007,215.70000000000007,0.0,15.075837,15.075837,0.0,,
5,timing_repair,True,G65,OR2_X1,OR2_X2,,1.5452034511120505,1.5505897901156906,-0.0053863390036401615,-0.02934100000000006,-0.02934100000000006,0.0,-0.21330300000000024,-0.17168775000000047,0.04161524999999977,1.010341,1.010341,0.0,215.70000000000007,218.70000000000007,3.0,15.075837,15.272177000000001,0.19634000000000107,,
6,rejected,False,G55,NAND3_X1,NAND3_X2,candidate violates area or power constraints,1.5505897901156906,1.5505897901156906,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.17168775000000047,-0.17168775000000047,0.0,1.010341,1.010341,0.0,218.70000000000007,218.70000000000007,0.0,15.272177000000001,15.272177000000001,0.0,,
7,rejected,False,G29,OR2_X1,OR2_X2,candidate violates area or power constraints,1.5505897901156906,1.5505897901156906,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.17168775000000047,-0.17168775000000047,0.0,1.010341,1.010341,0.0,218.70000000000007,218.70000000000007,0.0,15.272177000000001,15.272177000000001,0.0,,
8,rejected,False,G63,XOR2_X1,XOR2_X2,candidate violates area or power constraints,1.5505897901156906,1.5505897901156906,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.17168775000000047,-0.17168775000000047,0.0,1.010341,1.010341,0.0,218.70000000000007,218.70000000000007,0.0,15.272177000000001,15.272177000000001,0.0,,
9,rejected,False,G71,XOR2_X1,XOR2_X2,candidate violates area or power constraints,1.5505897901156906,1.5505897901156906,0.0,-0.02934100000000006,-0.02934100000000006,0.0,-0.17168775000000047,-0.17168775000000047,0.0,1.010341,1.010341,0.0,218.70000000000007,218.70000000000007,0.0,15.272177000000001,15.272177000000001,0.0,,
