node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND2_X1,N1,False,3.6660000000000004,0.068493,0.06099400000000001,0.074493,0.06499400000000001,0.1740044999999999,0.16600449999999986,0.09951149999999989,0.10101049999999985,0.09951149999999989
G2,NOR2_X1,N2,False,3.0,0.08,0.0525,0.091,0.0615,0.18800749999999988,0.20534800000000003,0.09700749999999989,0.14384800000000003,0.09700749999999989
G3,XOR2_X1,N3,False,3.0,0.102,0.092,0.11599999999999999,0.106,0.22264999999999996,0.20534800000000003,0.10664999999999997,0.09934800000000003,0.09934800000000003
G4,AND2_X1,N4,False,3.0,0.07400000000000001,0.0675,0.084,0.0795,0.21565549999999997,0.22784849999999995,0.13165549999999998,0.14834849999999994,0.13165549999999998
G5,OR2_X1,N5,False,6.0,0.10900000000000001,0.08900000000000001,0.12400000000000001,0.10500000000000001,0.12918100000000005,0.12918100000000005,0.005181000000000033,0.024181000000000036,0.005181000000000033
G6,NAND3_X1,N6,False,4.0,0.089,0.094,0.095,0.106,0.1026649999999999,0.1026649999999999,0.007664999999999894,-0.0033350000000001018,-0.0033350000000001018
G7,NOR3_X1,N7,False,3.667,0.121006,0.069336,0.132006,0.07733599999999999,0.1026649999999999,0.1026649999999999,-0.029341000000000117,0.025328999999999907,-0.029341000000000117
G8,XNOR2_X1,N8,False,4.0,0.118,0.106,0.131,0.119,0.13799749999999988,0.13600099999999987,0.006997499999999879,0.017000999999999877,0.006997499999999879
G9,AND3_X1,N9,False,4.0,0.1,0.091,0.10600000000000001,0.107,0.13799749999999988,0.13600099999999987,0.03199749999999987,0.029000999999999874,0.029000999999999874
G10,OR3_X1,N10,False,4.0,0.114,0.095,0.129,0.105,0.16300099999999987,0.13600099999999987,0.034000999999999865,0.031000999999999876,0.031000999999999876
G11,INV_X1,N11,False,4.0,0.051000000000000004,0.038000000000000006,0.057,0.038000000000000006,0.16300099999999987,0.16600449999999986,0.10600099999999987,0.12800449999999985,0.10600099999999987
G12,BUF_X1,N12,False,1.667,0.041669,0.0351685,0.043669,0.0461685,0.16300099999999987,0.17000449999999986,0.11933199999999987,0.12383599999999986,0.11933199999999987
G13,NAND2_X1,N13,False,2.333,0.0544965,0.048997000000000006,0.11949050000000001,0.139997,0.2633384999999998,0.2370044999999999,0.1438479999999998,0.09700749999999989,0.09700749999999989
G14,NOR2_X1,N14,False,3.0,0.08,0.0525,0.186,0.16849999999999998,0.28534800000000005,0.285849,0.09934800000000005,0.11734900000000004,0.09934800000000005
G15,AND2_X1,N15,False,3.667,0.079336,0.0718355,0.195336,0.17783549999999998,0.301986,0.29968399999999995,0.10664999999999997,0.12184849999999997,0.10664999999999997
G16,OR2_X1,N16,False,3.333,0.0863305,0.0716645,0.21033050000000003,0.1766645,0.301986,0.301986,0.09165549999999995,0.12532149999999997,0.09165549999999995
G17,XOR2_X1,N17,False,3.0,0.102,0.092,0.226,0.21600000000000003,0.23118100000000003,0.24651300000000004,0.005181000000000019,0.030513000000000012,0.005181000000000019
