iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.5077755034998617,1.5077755034998617,0.0,-0.02132500000000015,-0.02132500000000015,0.0,-0.15963450000000035,-0.15963450000000035,0.0,0.9893250000000001,0.9893250000000001,0.0,306.8000000000001,306.8000000000001,0.0,21.41451,21.41451,0.0,,
1,rejected,False,G95,XNOR2_X1,XNOR2_X2,no candidate improves WNS or tied-WNS TNS,1.5077755034998617,1.5077755034998617,0.0,-0.02132500000000015,-0.02132500000000015,0.0,-0.15963450000000035,-0.15963450000000035,0.0,0.9893250000000001,0.9893250000000001,0.0,306.8000000000001,306.8000000000001,0.0,21.41451,21.41451,0.0,,
2,rejected,False,G104,OR3_X1,OR3_X2,no candidate improves WNS or tied-WNS TNS,1.5077755034998617,1.5077755034998617,0.0,-0.02132500000000015,-0.02132500000000015,0.0,-0.15963450000000035,-0.15963450000000035,0.0,0.9893250000000001,0.9893250000000001,0.0,306.8000000000001,306.8000000000001,0.0,21.41451,21.41451,0.0,,
3,timing_repair,True,G41,XOR2_X1,XOR2_X2,,1.5077755034998617,1.4888484207463248,0.018927082753536828,-0.02132500000000015,-0.01782450000000002,0.0035005000000001285,-0.15963450000000035,-0.1156545000000001,0.04398000000000024,0.9893250000000001,0.9819950000000001,-0.007330000000000059,306.8000000000001,311.8000000000001,5.0,21.41451,21.72651,0.31200000000000117,,
4,timing_repair,True,G102,XNOR2_X1,XNOR2_X2,,1.4888484207463248,1.4759007923730567,0.012947628373268127,-0.01782450000000002,-0.01399500000000009,0.00382949999999993,-0.1156545000000001,-0.08100550000000006,0.03464900000000004,0.9819950000000001,0.9819950000000001,0.0,311.8000000000001,317.0000000000001,5.199999999999989,21.72651,22.04951,0.3230000000000004,,
5,rejected,False,G67,XOR2_X1,XOR2_X2,no candidate improves WNS or tied-WNS TNS,1.4759007923730567,1.4759007923730567,0.0,-0.01399500000000009,-0.01399500000000009,0.0,-0.08100550000000006,-0.08100550000000006,0.0,0.9819950000000001,0.9819950000000001,0.0,317.0000000000001,317.0000000000001,0.0,22.04951,22.04951,0.0,,
6,rejected,False,G60,AND3_X1,AND3_X2,no candidate improves WNS or tied-WNS TNS,1.4759007923730567,1.4759007923730567,0.0,-0.01399500000000009,-0.01399500000000009,0.0,-0.08100550000000006,-0.08100550000000006,0.0,0.9819950000000001,0.9819950000000001,0.0,317.0000000000001,317.0000000000001,0.0,22.04951,22.04951,0.0,,
7,rejected,False,G44,XNOR2_X1,XNOR2_X2,no candidate improves WNS or tied-WNS TNS,1.4759007923730567,1.4759007923730567,0.0,-0.01399500000000009,-0.01399500000000009,0.0,-0.08100550000000006,-0.08100550000000006,0.0,0.9819950000000001,0.9819950000000001,0.0,317.0000000000001,317.0000000000001,0.0,22.04951,22.04951,0.0,,
8,timing_repair,True,G104,OR3_X1,OR3_X2,,1.4759007923730567,1.3915468762037353,0.08435391616932142,-0.01399500000000009,-0.013002999999999876,0.000992000000000215,-0.08100550000000006,-0.05468149999999994,0.026324000000000125,0.9819950000000001,0.8984915,-0.08350350000000006,317.0000000000001,320.8000000000001,3.8000000000000114,22.04951,22.326500000000003,0.2769900000000014,,
9,timing_repair,True,G57,XNOR2_X1,XNOR2_X2,,1.3915468762037353,1.3886965363857948,0.0028503398179404726,-0.013002999999999876,-0.013002999999999876,0.0,-0.05468149999999994,-0.03631999999999991,0.01836150000000003,0.8984915,0.8893335,-0.009158,320.8000000000001,326.0000000000001,5.199999999999989,22.326500000000003,22.649500000000003,0.3230000000000004,,
10,rejected,False,G60,AND3_X1,AND3_X2,no candidate improves WNS or tied-WNS TNS,1.3886965363857948,1.3886965363857948,0.0,-0.013002999999999876,-0.013002999999999876,0.0,-0.03631999999999991,-0.03631999999999991,0.0,0.8893335,0.8893335,0.0,326.0000000000001,326.0000000000001,0.0,22.649500000000003,22.649500000000003,0.0,,
11,timing_repair,True,G98,NOR2_X1,NOR2_X2,,1.3886965363857948,1.365998910093985,0.022697626291809714,-0.013002999999999876,-0.007990000000000053,0.005012999999999823,-0.03631999999999991,-0.013980000000000103,0.022339999999999804,0.8893335,0.8893335,0.0,326.0000000000001,328.0000000000001,2.0,22.649500000000003,22.792340000000003,0.14283999999999963,,
12,timing_repair,True,G56,OR2_X1,OR2_X2,,1.365998910093985,1.3294072235884853,0.03659168650549982,-0.007990000000000053,0.003001749999999914,0.010991749999999967,-0.013980000000000103,0,0.013980000000000103,0.8893335,0.8893335,0.0,328.0000000000001,331.0000000000001,3.0,22.792340000000003,22.988680000000002,0.1963399999999993,,
13,rejected,False,G73,AND3_X1,AND3_X2,timing is met and every feasible change would create a timing violation,1.3294072235884853,1.3294072235884853,0.0,0.003001749999999914,0.003001749999999914,0.0,0,0,0,0.8893335,0.8893335,0.0,331.0000000000001,331.0000000000001,0.0,22.988680000000002,22.988680000000002,0.0,,
