node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,NAND2_X1,N1_1,False,5.333,0.0859965,0.07599700000000001,0.0859965,0.07599700000000001,0.16132800000000005,0.09199250000000006,0.07533150000000005,0.01599550000000005,0.01599550000000005
G2,NOR2_X1,N1_2,False,3.667,0.089338,0.0575025,0.089338,0.0575025,0.0915005000000001,0.0915005000000001,0.002162500000000095,0.0339980000000001,0.002162500000000095
G3,XOR2_X1,N1_3,False,3.333,0.10533000000000001,0.09466400000000001,0.10533000000000001,0.09466400000000001,0.09232700000000008,0.09232700000000008,-0.013002999999999931,-0.0023369999999999364,-0.013002999999999931
G4,AND2_X1,N1_4,False,3.334,0.076672,0.06967100000000001,0.076672,0.06967100000000001,0.09950899999999994,0.06984099999999993,0.02283699999999994,0.00016999999999992021,0.00016999999999992021
G5,OR2_X1,N1_5,False,4.333,0.09483050000000001,0.0781645,0.09483050000000001,0.0781645,0.07700599999999994,0.07367599999999994,-0.017824500000000076,-0.004488500000000062,-0.017824500000000076
G6,XNOR2_X1,N1_6,False,3.334,0.111007,0.100339,0.111007,0.100339,0.0896819999999999,0.10001399999999992,-0.021325000000000094,-0.00032500000000007523,-0.021325000000000094
G7,NAND3_X1,N1_7,False,3.6660000000000004,0.085326,0.08965800000000002,0.085326,0.08965800000000002,0.12168099999999993,0.17834499999999992,0.03635499999999993,0.0886869999999999,0.03635499999999993
G8,NOR3_X1,N1_8,False,2.667,0.103006,0.061336,0.103006,0.061336,0.18267199999999997,0.167178,0.07966599999999997,0.10584199999999999,0.07966599999999997
G9,AND3_X1,N1_9,False,3.0,0.0915,0.084,0.0915,0.084,0.09232700000000008,0.09232700000000008,0.0008270000000000777,0.00832700000000007,0.0008270000000000777
G10,OR3_X1,N1_10,False,4.667,0.120003,0.09966900000000001,0.120003,0.09966900000000001,0.13983050000000005,0.12033050000000006,0.019827500000000053,0.020661500000000055,0.019827500000000053
G11,INV_X1,N1_11,False,6.333,0.071997,0.0531645,0.071997,0.0531645,0.07700599999999994,0.07367599999999994,0.00500899999999993,0.020511499999999933,0.00500899999999993
G12,BUF_X1,N1_12,False,5.334,0.067338,0.055337,0.067338,0.055337,0.0915005000000001,0.0915005000000001,0.0241625000000001,0.0361635000000001,0.0241625000000001
G13,NAND2_X1,N1_13,False,5.9990000000000006,0.0929895,0.08199100000000001,0.0929895,0.08199100000000001,0.12168099999999993,0.17834499999999992,0.028691499999999925,0.09635399999999991,0.028691499999999925
G14,NOR2_X1,N1_14,False,3.334,0.084676,0.055005,0.084676,0.055005,0.09950899999999994,0.06984099999999993,0.014832999999999943,0.014835999999999933,0.014832999999999943
G15,XOR2_X1,N1_15,False,4.333,0.11532999999999999,0.102664,0.11532999999999999,0.102664,0.10316249999999999,0.10316249999999999,-0.012167499999999998,0.0004984999999999851,-0.012167499999999998
G16,AND2_X1,N1_16,False,4.667,0.087336,0.0783355,0.087336,0.0783355,0.0896819999999999,0.10001399999999992,0.0023459999999999037,0.02167849999999992,0.0023459999999999037
G17,AND2_X1,N2_1,False,3.0,0.07400000000000001,0.0675,0.1599965,0.15715800000000002,0.25867099999999993,0.26433699999999993,0.09867449999999992,0.10717899999999991,0.09867449999999992
G18,OR2_X1,N2_2,False,4.0,0.092,0.07600000000000001,0.195006,0.137336,0.27467199999999997,0.243178,0.07966599999999996,0.10584199999999999,0.07966599999999996
G19,XNOR2_X1,N2_3,False,3.667,0.11450350000000001,0.1031695,0.21983350000000002,0.2084995,0.20683050000000008,0.20683050000000008,-0.013002999999999931,-0.0016689999999999205,-0.013002999999999931
G20,NAND3_X1,N2_4,False,4.0,0.089,0.094,0.188669,0.214003,0.20933050000000006,0.23383050000000005,0.020661500000000055,0.019827500000000053,0.019827500000000053
G21,NOR3_X1,N2_5,False,3.333,0.11499400000000001,0.066664,0.1931585,0.1614945,0.18866999999999995,0.14366999999999994,-0.004488500000000062,-0.017824500000000076,-0.017824500000000076
G22,AND3_X1,N2_6,False,2.667,0.0886695,0.08166899999999999,0.19967649999999998,0.182008,0.20866999999999997,0.21566999999999995,0.008993499999999988,0.03366199999999994,0.008993499999999988
G23,OR3_X1,N2_7,False,3.6660000000000004,0.11099400000000001,0.09266200000000001,0.2039835,0.18232000000000004,0.23267499999999994,0.27100699999999994,0.028691499999999925,0.0886869999999999,0.028691499999999925
G24,INV_X1,N2_8,False,3.334,0.045006000000000004,0.033671000000000006,0.106342,0.136677,0.25867099999999993,0.23433699999999996,0.15232899999999994,0.09765999999999997,0.09765999999999997
G25,BUF_X1,N2_9,False,6.0,0.07200000000000001,0.059,0.1635,0.14300000000000002,0.21833999999999992,0.21833999999999992,0.05483999999999992,0.07533999999999991,0.05483999999999992
G26,NAND2_X1,N2_10,False,5.333,0.0859965,0.07599700000000001,0.1856655,0.196,0.23950000000000007,0.2604995000000001,0.05383450000000006,0.0644995000000001,0.05383450000000006
G27,NOR2_X1,N2_11,False,5.667,0.117338,0.0725025,0.193335,0.158499,0.20933050000000006,0.23383050000000005,0.01599550000000005,0.07533150000000005,0.01599550000000005
G28,XOR2_X1,N2_12,False,4.333,0.11532999999999999,0.102664,0.204668,0.192002,0.20683050000000008,0.20683050000000008,0.002162500000000095,0.014828500000000078,0.002162500000000095
G29,AND2_X1,N2_13,False,1.667,0.063336,0.0588355,0.168666,0.1534995,0.25317200000000006,0.24883950000000007,0.08450600000000005,0.09534000000000006,0.08450600000000005
G30,OR2_X1,N2_14,False,3.6660000000000004,0.089161,0.073829,0.17383700000000002,0.14350000000000002,0.18866999999999995,0.14366999999999994,0.01483299999999993,0.00016999999999992021,0.00016999999999992021
G31,XNOR2_X1,N2_15,False,3.334,0.111007,0.100339,0.22633699999999998,0.215669,0.21416949999999998,0.230669,-0.012167499999999998,0.015000000000000013,-0.012167499999999998
G32,NAND3_X1,N2_16,False,6.666,0.118326,0.12865800000000002,0.218665,0.23966500000000002,0.21833999999999992,0.21833999999999992,-0.00032500000000007523,-0.021325000000000094,-0.021325000000000094
G33,NAND3_X1,N3_1,False,4.333,0.092663,0.098329,0.24982100000000002,0.2583255,0.35699999999999993,0.35699999999999993,0.10717899999999991,0.09867449999999994,0.09867449999999994
G34,NOR3_X1,N3_2,False,2.667,0.103006,0.061336,0.246006,0.256342,0.346184,0.336008,0.10017799999999999,0.07966599999999996,0.07966599999999996
G35,AND3_X1,N3_3,False,3.333,0.09433050000000001,0.086331,0.314164,0.2948305,0.3338305000000001,0.3468305000000001,0.019666500000000087,0.0520000000000001,0.019666500000000087
G36,OR3_X1,N3_4,False,3.0,0.10500000000000001,0.08800000000000001,0.298335,0.302003,0.31433050000000007,0.3218305000000001,0.01599550000000005,0.019827500000000053,0.01599550000000005
G37,INV_X1,N3_5,False,4.0,0.051000000000000004,0.038000000000000006,0.21249450000000003,0.23115850000000002,0.33783950000000007,0.34717200000000004,0.12534500000000004,0.11601350000000002,0.11601350000000002
G38,BUF_X1,N3_6,False,2.0,0.044,0.037,0.24367649999999996,0.219008,0.25266999999999995,0.25266999999999995,0.008993499999999988,0.03366199999999994,0.008993499999999988
G39,NAND2_X1,N3_7,False,1.333,0.0439965,0.039997000000000005,0.22631650000000003,0.24398050000000002,0.37414749999999997,0.33180850000000006,0.14783099999999993,0.08782800000000004,0.08782800000000004
