iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.7745131786145236,1.7745131786145236,0.0,-0.1473599999999995,-0.1473599999999995,0.0,-2.321067999999995,-2.321067999999995,0.0,1.9673539999999998,1.9673539999999998,0.0,372.10000000000014,372.10000000000014,0.0,25.77668000000002,25.77668000000002,0.0,,
1,rejected,False,G106,OR3_X1,OR3_X2,no candidate improves WNS or tied-WNS TNS,1.7745131786145236,1.7745131786145236,0.0,-0.1473599999999995,-0.1473599999999995,0.0,-2.321067999999995,-2.321067999999995,0.0,1.9673539999999998,1.9673539999999998,0.0,372.10000000000014,372.10000000000014,0.0,25.77668000000002,25.77668000000002,0.0,,
2,timing_repair,True,G108,NOR2_X1,NOR2_X2,,1.7745131786145236,1.7766811981278452,-0.002168019513321573,-0.1473599999999995,-0.14735399999999976,5.999999999728445e-06,-2.321067999999995,-2.1170744999999958,0.20399349999999927,1.9673539999999998,1.9673539999999998,0.0,372.10000000000014,374.10000000000014,2.0,25.77668000000002,25.919520000000016,0.14283999999999608,,
3,rejected,False,G30,XOR2_X1,XOR2_X2,no candidate improves WNS or tied-WNS TNS,1.7766811981278452,1.7766811981278452,0.0,-0.14735399999999976,-0.14735399999999976,0.0,-2.1170744999999958,-2.1170744999999958,0.0,1.9673539999999998,1.9673539999999998,0.0,374.10000000000014,374.10000000000014,0.0,25.919520000000016,25.919520000000016,0.0,,
4,rejected,False,G83,XOR2_X1,XOR2_X2,no candidate improves WNS or tied-WNS TNS,1.7766811981278452,1.7766811981278452,0.0,-0.14735399999999976,-0.14735399999999976,0.0,-2.1170744999999958,-2.1170744999999958,0.0,1.9673539999999998,1.9673539999999998,0.0,374.10000000000014,374.10000000000014,0.0,25.919520000000016,25.919520000000016,0.0,,
5,rejected,False,G72,OR3_X1,OR3_X2,no candidate improves WNS or tied-WNS TNS,1.7766811981278452,1.7766811981278452,0.0,-0.14735399999999976,-0.14735399999999976,0.0,-2.1170744999999958,-2.1170744999999958,0.0,1.9673539999999998,1.9673539999999998,0.0,374.10000000000014,374.10000000000014,0.0,25.919520000000016,25.919520000000016,0.0,,
6,rejected,False,G71,AND3_X1,AND3_X2,no candidate improves WNS or tied-WNS TNS,1.7766811981278452,1.7766811981278452,0.0,-0.14735399999999976,-0.14735399999999976,0.0,-2.1170744999999958,-2.1170744999999958,0.0,1.9673539999999998,1.9673539999999998,0.0,374.10000000000014,374.10000000000014,0.0,25.919520000000016,25.919520000000016,0.0,,
7,timing_repair,True,G88,NOR3_X1,NOR3_X2,,1.7766811981278452,1.7174924595953718,0.05918873853247342,-0.14735399999999976,-0.14585649999999983,0.0014974999999999294,-2.1170744999999958,-1.9390664999999956,0.17800800000000017,1.9673539999999998,1.8520239999999997,-0.11533000000000015,374.10000000000014,376.90000000000015,2.8000000000000114,25.919520000000016,26.14301000000001,0.22348999999999464,,
8,timing_repair,True,G78,XNOR2_X1,XNOR2_X2,,1.7174924595953718,1.7215393257231582,-0.004046866127786375,-0.14585649999999983,-0.1453629999999997,0.0004935000000001466,-1.9390664999999956,-1.821066499999996,0.11799999999999966,1.8520239999999997,1.8520239999999997,0.0,376.90000000000015,382.10000000000014,5.199999999999989,26.14301000000001,26.46601000000001,0.3230000000000004,,
9,rejected,False,G93,OR2_X1,OR2_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
10,rejected,False,G50,AND2_X1,AND2_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
11,rejected,False,G96,NOR3_X1,NOR3_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
12,rejected,False,G55,AND3_X1,AND3_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
13,rejected,False,G90,NOR2_X1,NOR2_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
14,rejected,False,G54,NOR3_X1,NOR3_X2,no candidate improves WNS or tied-WNS TNS,1.7215393257231582,1.7215393257231582,0.0,-0.1453629999999997,-0.1453629999999997,0.0,-1.821066499999996,-1.821066499999996,0.0,1.8520239999999997,1.8520239999999997,0.0,382.10000000000014,382.10000000000014,0.0,26.46601000000001,26.46601000000001,0.0,,
15,timing_repair,True,G38,XNOR2_X1,XNOR2_X2,,1.7215393257231582,1.5743406610517092,0.14719866467144893,-0.1453629999999997,-0.09535949999999982,0.05000349999999987,-1.821066499999996,-1.0969714999999984,0.7240949999999975,1.8520239999999997,1.8020204999999998,-0.05000349999999987,382.10000000000014,387.3000000000002,5.2000000000000455,26.46601000000001,26.78901000000001,0.3230000000000004,,
16,rejected,False,G93,OR2_X1,OR2_X2,no candidate improves WNS or tied-WNS TNS,1.5743406610517092,1.5743406610517092,0.0,-0.09535949999999982,-0.09535949999999982,0.0,-1.0969714999999984,-1.0969714999999984,0.0,1.8020204999999998,1.8020204999999998,0.0,387.3000000000002,387.3000000000002,0.0,26.78901000000001,26.78901000000001,0.0,,
17,rejected,False,G38,XNOR2_X2,XNOR2_X4,no candidate improves WNS or tied-WNS TNS,1.5743406610517092,1.5743406610517092,0.0,-0.09535949999999982,-0.09535949999999982,0.0,-1.0969714999999984,-1.0969714999999984,0.0,1.8020204999999998,1.8020204999999998,0.0,387.3000000000002,387.3000000000002,0.0,26.78901000000001,26.78901000000001,0.0,,
18,rejected,False,G36,XOR2_X1,XOR2_X2,no candidate improves WNS or tied-WNS TNS,1.5743406610517092,1.5743406610517092,0.0,-0.09535949999999982,-0.09535949999999982,0.0,-1.0969714999999984,-1.0969714999999984,0.0,1.8020204999999998,1.8020204999999998,0.0,387.3000000000002,387.3000000000002,0.0,26.78901000000001,26.78901000000001,0.0,,
19,rejected,False,G56,OR3_X1,OR3_X2,no candidate improves WNS or tied-WNS TNS,1.5743406610517092,1.5743406610517092,0.0,-0.09535949999999982,-0.09535949999999982,0.0,-1.0969714999999984,-1.0969714999999984,0.0,1.8020204999999998,1.8020204999999998,0.0,387.3000000000002,387.3000000000002,0.0,26.78901000000001,26.78901000000001,0.0,,
