iteration,phase,accepted,changed_gate,previous_cell,new_cell,rejection_reason,before_cost,after_cost,cost_improvement,before_wns_ns,after_wns_ns,wns_delta_ns,before_tns_ns,after_tns_ns,tns_delta_ns,before_delay_ns,after_delay_ns,delay_delta_ns,before_area,after_area,area_delta,before_power_uW,after_power_uW,power_delta_uW,termination,elapsed_seconds
0,initial,,,,,,1.7745131786145236,1.7745131786145236,0.0,-0.1473599999999995,-0.1473599999999995,0.0,-2.321067999999995,-2.321067999999995,0.0,1.9673539999999998,1.9673539999999998,0.0,372.10000000000014,372.10000000000014,0.0,25.77668000000002,25.77668000000002,0.0,,
1,timing_repair,True,G38,XNOR2_X1,XNOR2_X2,,1.7745131786145236,1.6273145139430747,0.14719866467144893,-0.1473599999999995,-0.09735649999999962,0.05000349999999987,-2.321067999999995,-1.5210119999999974,0.8000559999999977,1.9673539999999998,1.9173505,-0.05000349999999987,372.10000000000014,377.3000000000001,5.199999999999989,25.77668000000002,26.099680000000017,0.32299999999999685,,
2,timing_repair,True,G108,NOR2_X1,NOR2_X2,,1.6273145139430747,1.6294825334563963,-0.002168019513321573,-0.09735649999999962,-0.0973504999999999,5.999999999728445e-06,-1.5210119999999974,-1.3586589999999978,0.16235299999999953,1.9173505,1.9173505,0.0,377.3000000000001,379.3000000000001,2.0,26.099680000000017,26.242520000000013,0.14283999999999608,,
3,timing_repair,True,G88,NOR3_X1,NOR3_X2,,1.6294825334563963,1.5702937949239228,0.05918873853247342,-0.0973504999999999,-0.09585299999999997,0.0014974999999999294,-1.3586589999999978,-1.214971499999998,0.14368749999999975,1.9173505,1.8020204999999998,-0.11533000000000015,379.3000000000001,382.10000000000014,2.8000000000000114,26.242520000000013,26.46601000000001,0.2234899999999982,,
4,timing_repair,True,G78,XNOR2_X1,XNOR2_X2,,1.5702937949239228,1.5743406610517092,-0.004046866127786375,-0.09585299999999997,-0.09535949999999982,0.0004935000000001466,-1.214971499999998,-1.0969714999999984,0.11799999999999966,1.8020204999999998,1.8020204999999998,0.0,382.10000000000014,387.3000000000002,5.2000000000000455,26.46601000000001,26.78901000000001,0.3230000000000004,,
5,timing_repair,True,G98,OR3_X1,OR3_X2,,1.5743406610517092,1.5785246501706443,-0.0041839891189350276,-0.09535949999999982,-0.09535649999999984,2.9999999999752447e-06,-1.0969714999999984,-0.9731329999999982,0.12383850000000018,1.8020204999999998,1.8020204999999998,0.0,387.3000000000002,391.1000000000002,3.8000000000000114,26.78901000000001,27.066000000000013,0.2769900000000014,,
6,timing_repair,True,G58,NOR2_X1,NOR2_X2,,1.5785246501706443,1.5798539797481421,-0.001329329577497873,-0.09535649999999984,-0.09502049999999973,0.000336000000000114,-0.9731329999999982,-0.8766394999999985,0.09649349999999979,1.8020204999999998,1.8020204999999998,0.0,391.1000000000002,393.1000000000002,2.0,27.066000000000013,27.208840000000013,0.14283999999999963,,
7,timing_repair,True,G118,AND2_X1,AND2_X2,,1.5798539797481421,1.5744390855897135,0.0054148941584286625,-0.09502049999999973,-0.09502049999999973,0.0,-0.8766394999999985,-0.7266334999999986,0.15000599999999986,1.8020204999999998,1.7856794999999999,-0.01634099999999994,393.1000000000002,395.9000000000002,2.8000000000000114,27.208840000000013,27.387500000000014,0.1786600000000007,,
8,timing_repair,True,G68,AND2_X1,AND2_X2,,1.5744390855897135,1.5756503502212122,-0.0012112646314987874,-0.09502049999999973,-0.09435949999999971,0.0006610000000000227,-0.7266334999999986,-0.6491274999999987,0.07750599999999985,1.7856794999999999,1.7856794999999999,0.0,395.9000000000002,398.70000000000016,2.7999999999999545,27.387500000000014,27.56616000000001,0.17865999999999715,,
9,timing_repair,True,G48,OR3_X1,OR3_X2,,1.5756503502212122,1.5294227204855841,0.046227629735628106,-0.09435949999999971,-0.07452099999999984,0.01983849999999987,-0.6491274999999987,-0.6052889999999989,0.04383849999999989,1.7856794999999999,1.7856794999999999,0.0,398.70000000000016,402.50000000000017,3.8000000000000114,27.56616000000001,27.84315000000001,0.27698999999999785,,
10,timing_repair,True,G39,NAND2_X1,NAND2_X2,,1.5294227204855841,1.5336394995105733,-0.004216779024989181,-0.07452099999999984,-0.07401774999999966,0.0005032500000001772,-0.6052889999999989,-0.6882614999999954,-0.08297249999999656,1.7856794999999999,1.7926777499999997,0.006998249999999873,402.50000000000017,404.3000000000002,1.8000000000000114,27.84315000000001,27.96831000000001,0.12516000000000105,,
11,rejected,False,,,,no candidate improves WNS or tied-WNS TNS,1.5336394995105733,1.5336394995105733,0.0,-0.07401774999999966,-0.07401774999999966,0.0,-0.6882614999999954,-0.6882614999999954,0.0,1.7926777499999997,1.7926777499999997,0.0,404.3000000000002,404.3000000000002,0.0,27.96831000000001,27.96831000000001,0.0,no_timing_improvement,0.35165744699770585
