node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G1,INV_X1,P1,False,11.0,0.114,0.0835,0.114,0.0835,0.2968250000000001,0.2636600000000001,0.18282500000000013,0.1801600000000001,0.1801600000000001
G2,BUF_X1,P2,False,16.0,0.14200000000000002,0.11399999999999999,0.14200000000000002,0.11399999999999999,0.2968250000000001,0.2636600000000001,0.1548250000000001,0.14966000000000013,0.14966000000000013
G3,NAND2_X1,P3,False,12.333,0.1594965,0.138997,0.1594965,0.138997,0.2596580000000001,0.28015800000000013,0.1001615000000001,0.14116100000000012,0.1001615000000001
G4,NOR2_X1,P4,False,9.667,0.17333800000000002,0.1025025,0.17333800000000002,0.1025025,0.2596580000000001,0.28015800000000013,0.08632000000000009,0.17765550000000013,0.08632000000000009
G5,AND2_X1,P5,False,15.667,0.175336,0.1498355,0.175336,0.1498355,0.23931900000000011,0.27398700000000015,0.06398300000000012,0.12415150000000014,0.06398300000000012
G6,OR2_X1,P6,False,11.0,0.1515,0.12150000000000001,0.1515,0.12150000000000001,0.23931900000000011,0.27398700000000015,0.08781900000000012,0.15248700000000015,0.08781900000000012
G7,XOR2_X1,P7,False,12.333,0.19533,0.166664,0.19533,0.166664,0.2228185000000001,0.2228185000000001,0.02748850000000011,0.05615450000000011,0.02748850000000011
G8,XNOR2_X1,P8,False,14.0,0.22300000000000003,0.191,0.22300000000000003,0.191,0.2228185000000001,0.2228185000000001,-0.00018149999999991784,0.03181850000000011,-0.00018149999999991784
G9,NAND3_X1,P9,False,10.668,0.162348,0.180684,0.162348,0.180684,0.17765800000000018,0.17765800000000018,0.015310000000000185,-0.0030259999999998344,-0.0030259999999998344
G10,NOR3_X1,P10,False,15.001,0.32501800000000003,0.160008,0.32501800000000003,0.160008,0.17765800000000018,0.17765800000000018,-0.14735999999999985,0.017650000000000166,-0.14735999999999985
G11,AND3_X1,P11,False,16.667,0.20766950000000003,0.17966900000000002,0.20766950000000003,0.17966900000000002,0.2286580000000002,0.2236580000000002,0.02098850000000016,0.04398900000000017,0.02098850000000016
G12,OR3_X1,P12,False,13.0,0.195,0.158,0.195,0.158,0.2286580000000002,0.2236580000000002,0.03365800000000019,0.06565800000000019,0.03365800000000019
G13,INV_X1,P13,False,16.0,0.15900000000000003,0.116,0.15900000000000003,0.116,0.2246580000000002,0.20365800000000017,0.06565800000000016,0.08765800000000017,0.06565800000000016
G14,BUF_X1,P14,False,16.0,0.14200000000000002,0.11399999999999999,0.14200000000000002,0.11399999999999999,0.2246580000000002,0.20365800000000017,0.08265800000000018,0.08965800000000018,0.08265800000000018
G15,NAND2_X1,P15,False,11.666,0.152493,0.13299400000000003,0.152493,0.13299400000000003,0.20365800000000017,0.20865800000000018,0.05116500000000018,0.07566400000000015,0.05116500000000018
G16,NOR2_X1,P16,False,13.999,0.23398600000000003,0.13499250000000002,0.23398600000000003,0.13499250000000002,0.20365800000000017,0.20865800000000018,-0.030327999999999855,0.07366550000000016,-0.030327999999999855
G17,AND2_X1,P17,False,12.333,0.14866400000000002,0.12816450000000001,0.14866400000000002,0.12816450000000001,0.3661580000000001,0.3941580000000001,0.21749400000000008,0.2659935000000001,0.21749400000000008
G18,OR2_X1,P18,False,10.0,0.14300000000000002,0.115,0.14300000000000002,0.115,0.3661580000000001,0.3941580000000001,0.22315800000000008,0.27915800000000013,0.22315800000000008
G19,NOR2_X1,R1_1,False,1.333,0.056662000000000004,0.0399975,0.17066199999999998,0.1819975,0.3203220000000001,0.33682250000000014,0.14966000000000013,0.15482500000000013,0.14966000000000013
G20,AND2_X1,R1_2,False,1.333,0.060664,0.0566645,0.23400200000000002,0.19566150000000002,0.3203220000000001,0.33682250000000014,0.08632000000000009,0.14116100000000012,0.08632000000000009
G21,OR2_X1,R1_3,False,1.667,0.0721695,0.0608355,0.2475055,0.210671,0.3114885000000001,0.33482250000000013,0.06398300000000012,0.12415150000000014,0.06398300000000012
G22,XOR2_X1,R1_4,False,1.667,0.08867,0.081336,0.31167,0.30433600000000005,0.3114885000000001,0.33482250000000013,-0.00018149999999989008,0.030486500000000083,-0.00018149999999989008
G23,XNOR2_X1,R1_5,False,2.0,0.097,0.089,0.422018,0.414018,0.2746580000000002,0.2746580000000002,-0.14735999999999982,-0.13935999999999982,-0.14735999999999982
G24,NAND2_X1,R1_6,False,2.0,0.051000000000000004,0.046,0.230669,0.25366950000000005,0.2746580000000002,0.2746580000000002,0.04398900000000017,0.020988500000000132,0.020988500000000132
G25,NOR2_X1,R1_7,False,2.0,0.066,0.045,0.182,0.20400000000000001,0.2696580000000002,0.2696580000000002,0.08765800000000018,0.06565800000000016,0.06565800000000016
G26,AND2_X1,R1_8,False,2.0,0.066,0.061,0.29998600000000003,0.19599250000000001,0.2696580000000002,0.2696580000000002,-0.030327999999999855,0.07366550000000016,-0.030327999999999855
